Dataset: emnist
Number of clients: 6
Number of splits: 100
Number of training rounds: 50
Number of selected clients per round: 4
Server values: 
round, accuracy, accumulated_time
1, 0.2633, 1.8863260746002197
2, 0.290325, 3.736205577850342
3, 0.415275, 5.71603798866272
4, 0.509575, 7.6953840255737305
5, 0.766875, 9.599571228027344
6, 0.644525, 11.538795948028564
7, 0.88865, 13.346746444702148
8, 0.89155, 15.214111328125
9, 0.836725, 17.012486457824707
10, 0.90085, 18.84157133102417
11, 0.79215, 20.676499366760254
12, 0.903725, 22.54761266708374
13, 0.91805, 24.39474129676819
14, 0.9188, 26.209386825561523
15, 0.924075, 28.19395112991333
16, 0.921225, 30.147100925445557
17, 0.9226, 32.160295724868774
18, 0.92815, 34.050442695617676
19, 0.93055, 35.90231275558472
20, 0.928575, 37.70755052566528
21, 0.929675, 39.53842878341675
22, 0.92655, 41.39101529121399
23, 0.92795, 43.263508796691895
24, 0.93115, 45.162033557891846
25, 0.93115, 47.04074192047119
26, 0.93135, 49.03557634353638
27, 0.930875, 51.0797233581543
28, 0.929275, 53.1520140171051
29, 0.92975, 55.174755334854126
30, 0.92795, 57.06885647773743
31, 0.93015, 58.88578677177429
32, 0.930625, 60.78241729736328
33, 0.932375, 62.62573003768921
34, 0.92865, 64.49595475196838
35, 0.93275, 66.36751222610474
36, 0.93185, 68.23634147644043
37, 0.931, 70.07157111167908
38, 0.9275, 71.99694681167603
39, 0.929425, 74.07679796218872
40, 0.930975, 76.10140585899353
41, 0.930675, 78.07715654373169
42, 0.931725, 79.9577476978302
43, 0.93085, 81.81475758552551
44, 0.933225, 83.70653057098389
45, 0.932875, 85.62350058555603
46, 0.93315, 87.54844927787781
47, 0.9342, 89.46242594718933
48, 0.931825, 91.30162310600281
49, 0.931675, 93.21535563468933
50, 0.932375, 95.19225430488586
-----------------------------------------------------------------------------
Average client values: 
round, avg_accuracy, avg_time 
0, 0.2770138888888889, 1.72
1, 0.3075694444444445, 1.6816666666666666
2, 0.44944444444444437, 1.8183333333333334
3, 0.5853472222222222, 1.8216666666666665
4, 0.8886805555555556, 1.7533333333333332
5, 0.8946527777777779, 1.7883333333333333
6, 0.8770833333333333, 1.6583333333333334
7, 0.9543749999999999, 1.7249999999999999
8, 0.9665972222222221, 1.6516666666666666
9, 0.975, 1.678333333333333
10, 0.9814583333333333, 1.6916666666666664
11, 0.9828472222222221, 1.7116666666666667
12, 0.9904166666666668, 1.6900000000000002
13, 0.9871527777777778, 1.6566666666666665
14, 0.9849305555555556, 1.8399999999999999
15, 0.9866666666666667, 1.7966666666666669
16, 0.9908333333333333, 1.8466666666666667
17, 0.9923611111111111, 1.7316666666666667
18, 0.993125, 1.71
19, 0.9922916666666666, 1.665
20, 0.9945138888888888, 1.6766666666666665
21, 0.9936805555555556, 1.6966666666666665
22, 0.9947222222222223, 1.7366666666666666
23, 0.9936805555555557, 1.7533333333333332
24, 0.995138888888889, 1.7249999999999999
25, 0.9940972222222223, 1.8449999999999998
26, 0.9941666666666666, 1.875
27, 0.9938194444444445, 1.8999999999999997
28, 0.9927777777777779, 1.8733333333333333
29, 0.9931944444444446, 1.7383333333333333
30, 0.9935416666666667, 1.6816666666666664
31, 0.9947916666666669, 1.7366666666666666
32, 0.9934027777777779, 1.6933333333333334
33, 0.9949305555555558, 1.705
34, 0.9925694444444444, 1.7133333333333332
35, 0.9927083333333333, 1.7183333333333335
36, 0.9924999999999998, 1.6799999999999997
37, 0.992986111111111, 1.7616666666666665
38, 0.9953472222222222, 1.9183333333333332
39, 0.9943055555555556, 1.861666666666667
40, 0.9946527777777777, 1.8283333333333334
41, 0.9941666666666666, 1.7366666666666666
42, 0.9938888888888888, 1.7133333333333332
43, 0.9929166666666666, 1.7366666666666666
44, 0.9946527777777777, 1.758333333333333
45, 0.9943749999999999, 1.7866666666666668
46, 0.9944444444444445, 1.7599999999999998
47, 0.9953472222222222, 1.6900000000000002
48, 0.9940972222222223, 1.758333333333333
49, 0.9931944444444446, 1.82
